Institution,Count,City,State,District,Representative,Notes,llm_state_labeled_successfully,llm_state,llm_labeled_successfully,llm_city
"Lawrence Berkeley National Laboratory (LBNL, LBL)",1214,Berkeley,CA,CA-12,Barbara Lee,,yes,CA,yes,Berkeley
University of California Berkeley (UCB),1168,Berkeley,CA,CA-12,Barbara Lee,,yes,CA,yes,Berkeley
Stanford University,136,Stanford,CA,CA-16,Anna Eshoo,,yes,CA,yes,Stanford
Lawrence Livermore National Laboratory (LLNL),86,Livermore,CA,CA-14,Eric Swalwell,,yes,CA,yes,Livermore
University of California Santa Cruz (UCSC),75,Santa Cruz,CA,CA-19,Jimmy Panetta,,yes,CA,yes,Santa Cruz
University of California San Francisco (UCSF),67,San Francisco,CA,CA-11,Nancy Pelosi,,yes,CA,yes,San Francisco
University of California Davis (UCD),63,Davis,CA,CA-08,John Garamendi,,yes,CA,yes,Davis
University of California Merced (UCM),59,Merced,CA,CA-13,John Duarte,,yes,CA,yes,Merced
University of California Los Angeles (UCLA),51,Los Angeles,CA,CA-36,Ted Lieu,,yes,CA,yes,Los Angeles
University of California Santa Barbara (UCSB),42,Santa Barbara,CA,CA-24,Salud Carbajal,,yes,CA,yes,Santa Barbara
Columbia University,33,New York,NY,NY-12,Jerrold Nadler,,yes,NY,yes,New York City
Sandia National Laboratories,25,Albuquerque,NM,NM-1,Melanie Stansbury,,yes,NM,yes,Albuquerque
California Institute of Technology (Caltech),24,Pasadena,CA,CA-28,Judy Chu,,yes,CA,yes,Pasadena
University of Washington,22,Seattle,WA,WA-07,Pramila Jayapal,,yes,WA,yes,Seattle
University of Southern California (USC),19,Los Angeles,CA,CA-37,Sydney Kamlager-Dove,,yes,CA,yes,Los Angeles
Los Alamos National Laboratory (LANL),17,Los Alamos,NM,NM-3,Teresa Leger Fernandez,,yes,NM,yes,Los Alamos
Pacific Northwest National Laboratory (PNNL),17,Richland,WA,WA-04,Dan Newhouse,,yes,WA,yes,Richland
Massachusetts Institute of Technology - MIT,16,Cambridge,MA,MA-07,Ayanna Pressley,,yes,MA,yes,Cambridge
Pennsylvania State University,16,State College,PA,PA-15,Glenn Thompson,,yes,PA,yes,State College
University of Oregon,16,Eugene,OR,OR-04,Val Hoyle,,yes,OR,yes,Eugene
"aBeam Technologies, Inc.",15,Hayward,CA,CA-14,Eric Swalwell,,yes,CA,yes,Hayward
Northwestern University,15,Evanston,IL,IL-09,Jan Schakowsky,,yes,IL,yes,Evanston
"Porifera, Inc.",15,San Leandro,CA,CA-12,Barbara Lee,,yes,CA,yes,Hayward
University of California Irvine (UCI),16,Irvine,CA,CA-47,Katie Porter,,yes,CA,yes,Irvine
